iterations,rate,period_us,quota_us,workers,pattern,burst_low,burst_high,load,trial,run_id,order,timestamp,segment_raw,p99_ms,p95_ms,p50_ms,successful_rps,scheduled,success,errors,rejected,lag_p99_ms,cpu_cores,throttle_fraction,nr_throttled,start_temp_c,mean_temp_c,max_temp_c,monitor_samples,drain_elapsed_s,host_cpu_pct,client_cpu_peak_pct,power_variant,segment,failure_fraction,log_p99,cell
44000,66.59,10000,5000,2,steady,33.295,99.885,moderate,5,p10000_w2_moderate_steady_r5,11,1790009398.3999217,0,6.652596,6.411836,5.86219,66.59890094164737,3996,3996,0,0,1.08478,0.3296741056574933,0.057666666666666665,346,42.43269230769231,45.28448275862069,47.375,58,60.000990159,3.732586206896552,5.88,44a214c22e,1,0.0,1.8950071544307496,10000_2_moderate_steady
44000,113.21,0,0,4,bursty,56.605,169.815,high,1,p0_w4_high_bursty_r1,12,1790009564.4664023,0,6.393737,6.121218,4.297095,113.2151918274581,6793,6793,0,0,1.058863,0.4467453298217465,0.0,0,42.30769230769231,52.543103448275865,54.5,58,60.000781612,4.617241379310345,11.76,44a214c22e,1,0.0,1.855318917480151,0_4_high_bursty
44000,66.59,50000,25000,4,steady,33.295,99.885,moderate,4,p50000_w4_moderate_steady_r4,13,1790009735.547368,0,6.630087,6.383376,5.839365,66.59895935463067,3996,3996,0,0,1.089828,0.3284591116563513,0.0,0,42.91346153846154,45.5926724137931,48.0,58,60.000937533,3.724137931034483,5.77,44a214c22e,1,0.0,1.891617926283622,50000_4_moderate_steady
44000,66.59,250000,125000,4,steady,33.295,99.885,moderate,1,p250000_w4_moderate_steady_r1,14,1790009906.673213,0,6.638551,6.420453,5.865731,66.59905270950405,3996,3996,0,0,1.088742,0.32960532010199217,0.0,0,42.36538461538461,45.547413793103445,47.625,58,60.000853427,3.7343103448275863,5.83,44a214c22e,1,0.0,1.8928937167826965,250000_4_moderate_steady
44000,66.59,250000,125000,2,bursty,33.295,99.885,moderate,1,p250000_w2_moderate_bursty_r1,15,1790010077.7536318,0,6.460432,6.214573,5.654072,66.59761363323976,3996,3996,0,0,1.072324,0.32235054730019447,0.0,0,42.22115384615385,45.69181034482759,49.75,58,60.002149957,3.5246551724137936,5.71,44a214c22e,1,0.0,1.8656961886236223,250000_2_moderate_bursty
44000,113.21,0,0,4,bursty,56.605,169.815,high,3,p0_w4_high_bursty_r3,16,1790010258.8138642,0,6.456076,6.152555,4.288537,113.21515939739814,6793,6793,0,0,1.05648,0.44744220727263756,0.0,0,42.0,52.03879310344828,54.0,58,60.000798799,4.600862068965518,5.71,44a214c22e,1,0.0,1.8650217028934017,0_4_high_bursty
44000,113.21,0,0,4,steady,56.605,169.815,high,2,p0_w4_high_steady_r2,17,1790010489.984885,0,5.943378,5.717531,5.015419,113.21512309167844,6793,6793,0,0,1.060418,0.4882500960036137,0.0,0,42.11538461538461,48.26077586206897,49.875,58,60.00081804,4.822413793103448,6.73,44a214c22e,1,0.0,1.7822776586021423,0_4_high_steady
44000,113.21,10000,5000,2,bursty,56.605,169.815,high,4,p10000_w2_high_bursty_r4,18,1790010702.4587724,0,1278.589913,1199.322552,600.961804,101.82677183657698,6793,6243,0,550,1.058894,0.4378464186904585,0.7327136333985649,4493,41.99038461538461,49.63125,51.125,60,61.310006076,5.099500000000001,7.55,44a214c22e,1,0.08096569998527896,7.153513119204057,10000_2_high_bursty
44000,113.21,100000,50000,2,bursty,56.605,169.815,high,4,p100000_w2_high_bursty_r4,19,1790010876.491377,0,3903.515237,1416.930914,286.215478,106.53213235937439,6793,6540,0,253,1.065803,0.42797175572671964,0.6596091205211726,405,42.26923076923077,50.34791666666667,51.75,60,61.389928608,4.541,8.57,44a214c22e,1,0.03724422199322832,8.269632768972736,100000_2_high_bursty
44000,113.21,100000,50000,4,steady,56.605,169.815,high,4,p100000_w4_high_steady_r4,20,1790011054.689766,0,5.946427,5.706663,4.974912,113.21517283397336,6793,6793,0,0,1.059509,0.484014953554868,0.13,78,42.09615384615385,48.265086206896555,50.5,58,60.000791678,4.852758620689655,7.62,44a214c22e,1,0.0,1.7827905349809954,100000_4_high_steady
44000,66.59,0,0,1,bursty,33.295,99.885,moderate,1,p0_w1_moderate_bursty_r1,21,1790011275.7320662,0,6.517848,6.275903,5.691941,66.59858956619036,3996,3996,0,0,1.070905,0.3227841811288503,0.0,0,42.47115384615385,45.44181034482759,47.625,58,60.001270688,3.520862068965518,6.73,44a214c22e,1,0.0,1.8745442601066324,0_1_moderate_bursty
44000,66.59,10000,5000,1,steady,33.295,99.885,moderate,2,p10000_w1_moderate_steady_r2,22,1790011456.919506,0,6.606446,6.362489,5.817397,66.5996671115539,3996,3996,0,0,1.081634,0.3274003736158356,0.044825862356273956,269,42.05769230769231,44.82327586206897,47.125,58,60.000299901,3.70448275862069,6.67,44a214c22e,1,0.0,1.8880458390704706,10000_1_moderate_steady
44000,66.59,250000,125000,4,steady,33.295,99.885,moderate,5,p250000_w4_moderate_steady_r5,23,1790011628.0403924,0,6.646982,6.416841,5.854825,66.59892392788663,3996,3996,0,0,1.084883,0.32994334621411125,0.0,0,41.65384615384615,44.4698275862069,46.625,58,60.00096945,3.710172413793104,9.71,44a214c22e,1,0.0,1.894162917067212,250000_4_moderate_steady
44000,113.21,0,0,1,steady,56.605,169.815,high,2,p0_w1_high_steady_r2,24,1790011799.1349435,0,5.950023,5.676474,4.986338,113.21624687025796,6793,6793,0,0,1.055604,0.4896579234096032,0.0,0,41.21153846153846,47.161637931034484,49.125,58,60.000222475,4.807758620689655,4.72,44a214c22e,1,0.0,1.7833950850962856,0_1_high_steady
44000,66.59,100000,50000,2,steady,33.295,99.885,moderate,5,p100000_w2_moderate_steady_r5,25,1790011975.080433,0,6.540996,6.313961,5.787129,66.59914503680555,3996,3996,0,0,1.091309,0.3269532218330654,0.0,0,41.14423076923077,44.09051724137931,46.75,58,60.000770247,3.6758620689655177,5.71,44a214c22e,1,0.0,1.8780894474515992,100000_2_moderate_steady
44000,113.21,100000,50000,1,steady,56.605,169.815,high,4,p100000_w1_high_steady_r4,26,1790012146.1655676,0,6.022946,5.709189,5.003918,113.21543676209095,6793,6793,0,0,1.060111,0.4889799697378588,0.14166666666666666,85,40.85576923076923,47.04094827586207,49.375,58,60.000651804,4.817586206896552,5.61,44a214c22e,1,0.0,1.7955765083896476,100000_1_high_steady
44000,66.59,0,0,1,bursty,33.295,99.885,moderate,2,p0_w1_moderate_bursty_r2,27,1790012317.1699681,0,6.533738,6.228967,5.651913,66.59766651322204,3996,3996,0,0,1.074499,0.32204942058724945,0.0,0,40.85576923076923,43.91379310344828,45.875,58,60.002102314,3.512241379310345,14.15,44a214c22e,1,0.0,1.8769792144257453,0_1_moderate_bursty
44000,66.59,250000,125000,2,bursty,33.295,99.885,moderate,2,p250000_w2_moderate_bursty_r2,28,1790012488.2731044,0,6.53149,6.326359,5.696651,66.59764352119122,3996,3996,0,0,1.072095,0.3230428539810945,0.0,0,40.58653846153846,43.446120689655174,45.75,58,60.002123029,3.517931034482759,6.73,44a214c22e,1,0.0,1.8766350949014348,250000_2_moderate_bursty
44000,66.59,50000,25000,2,bursty,33.295,99.885,moderate,2,p50000_w2_moderate_bursty_r2,29,1790012664.3949146,0,6.538669,6.298043,5.693642,66.59835375307364,3996,3996,0,0,1.075665,0.32272391105798265,0.009166666666666667,11,39.97115384615385,43.27801724137931,46.0,58,60.001483142,3.583103448275862,12.5,44a214c22e,1,0.0,1.8777336279371772,50000_2_moderate_bursty
44000,66.59,10000,5000,1,bursty,33.295,99.885,moderate,1,p10000_w1_moderate_bursty_r1,30,1790012835.5217555,0,6.616661,6.272668,5.659718,66.5987300965245,3996,3996,0,0,1.071046,0.322121441548087,0.0621446775142129,317,39.73076923076923,42.724137931034484,44.875,58,60.001144079,3.5448275862068965,5.77,44a214c22e,1,0.0,1.8895908620415491,10000_1_moderate_bursty
44000,66.59,0,0,4,steady,33.295,99.885,moderate,4,p0_w4_moderate_steady_r4,31,1790013006.6696563,0,6.649241,6.38615,5.841343,66.59930601081163,3996,3996,0,0,1.086559,0.32848801467479477,0.0,0,39.375,42.51293103448276,44.5,58,60.000625222,3.7558620689655173,16.19,44a214c22e,1,0.0,1.8945027128154834,0_4_moderate_steady
44000,66.59,100000,50000,1,steady,33.295,99.885,moderate,4,p100000_w1_moderate_steady_r4,32,1790013172.7682247,0,6.619854,6.378883,5.844299,66.59942906529443,3996,3996,0,0,1.086004,0.32877152143023564,0.0,0,39.47115384615385,42.36422413793103,44.875,58,60.00051436,3.796551724137931,12.5,44a214c22e,1,0.0,1.8900733153250509,100000_1_moderate_steady
44000,113.21,250000,125000,1,steady,56.605,169.815,high,1,p250000_w1_high_steady_r1,33,1790013343.8937001,0,5.965161,5.697386,5.00407,113.21518902541865,6793,6793,0,0,1.059008,0.48892952327749345,0.0875,21,39.08653846153846,45.11422413793103,47.0,58,60.000783097,4.802241379310345,4.76,44a214c22e,1,0.0,1.7859360459651823,250000_1_high_steady
44000,113.21,10000,5000,2,steady,56.605,169.815,high,5,p10000_w2_high_steady_r5,34,1790013514.9404309,0,115.715316,75.576309,9.701635,113.17416616833198,6793,6793,0,0,1.057691,0.4920930161743455,0.8382475428952191,5032,39.35576923076923,45.769396551724135,47.875,58,60.022531908,5.507413793103448,6.67,44a214c22e,1,0.0,4.751133002275237,10000_2_high_steady
44000,113.21,250000,125000,4,steady,56.605,169.815,high,2,p250000_w4_high_steady_r2,35,1790013685.9756637,0,5.924686,5.699001,4.994541,113.21430880886426,6793,6793,0,0,1.060901,0.48773509480150584,0.0375,9,39.30769230769231,45.18318965517241,47.125,58,60.00124959,4.784999999999999,5.71,44a214c22e,1,0.0,1.7791276898362782,250000_4_high_steady
44000,66.59,250000,125000,1,steady,33.295,99.885,moderate,2,p250000_w1_moderate_steady_r2,36,1790013861.997038,0,6.605499,6.367762,5.829762,66.59882950115195,3996,3996,0,0,1.089023,0.32772609204275754,0.0,0,39.19230769230769,42.23706896551724,44.625,58,60.001054522,3.7294827586206893,6.73,44a214c22e,1,0.0,1.8879024839472662,250000_1_moderate_steady
44000,113.21,0,0,1,steady,56.605,169.815,high,3,p0_w1_high_steady_r3,37,1790014033.0998905,0,5.875232,5.6576,4.968748,113.21625184609378,6793,6793,0,0,1.058425,0.48975713036957563,0.0,0,38.85576923076923,44.622844827586206,46.375,58,60.000219838,4.792586206896552,4.85,44a214c22e,1,0.0,1.7707455486122403,0_1_high_steady
44000,66.59,50000,25000,4,bursty,33.295,99.885,moderate,3,p50000_w4_moderate_bursty_r3,38,1790014209.115968,0,6.463791,6.21008,5.646666,66.59843049365811,3996,3996,0,0,1.075228,0.32259640517205146,0.006666666666666667,8,38.85576923076923,41.75,43.875,58,60.001414003,3.4924137931034482,5.56,44a214c22e,1,0.0,1.866215987775282,50000_4_moderate_bursty
44000,113.21,50000,25000,4,bursty,56.605,169.815,high,1,p50000_w4_high_bursty_r1,39,1790014381.441172,0,1381.252876,1322.734714,755.06331,96.38210777306158,6793,5902,0,891,1.065051,0.4364358581073817,0.7118367346938775,872,38.58653846153846,43.78125,53.25,60,61.235431932,5.1036666666666655,22.12,44a214c22e,1,0.13116443397615193,7.230746247435841,50000_4_high_bursty
44000,66.59,10000,5000,4,bursty,33.295,99.885,moderate,4,p10000_w4_moderate_bursty_r4,40,1790014553.61569,0,6.551654,6.297113,5.660662,66.59813232197716,3996,3996,0,0,1.075151,0.3226192388934199,0.047926447574334896,245,38.52884615384615,41.48706896551724,43.75,58,60.00168264,3.5420689655172413,5.71,44a214c22e,1,0.0,1.8797175368535526,10000_4_moderate_bursty
44000,113.21,0,0,1,steady,56.605,169.815,high,4,p0_w1_high_steady_r4,41,1790014724.6713383,0,5.920735,5.682085,5.004895,113.21487682437522,6793,6793,0,0,1.056739,0.48881536591541647,0.0,0,38.17307692307692,44.13577586206897,45.75,58,60.000948555,4.816206896551725,4.76,44a214c22e,1,0.0,1.7784605965946751,0_1_high_steady
44000,66.59,0,0,1,steady,33.295,99.885,moderate,3,p0_w1_moderate_steady_r3,42,1790014935.7920358,0,6.619661,6.358635,5.822517,66.59867873993265,3996,3996,0,0,1.081352,0.3279103545498763,0.0,0,38.02884615384615,41.168103448275865,43.25,58,60.001190348,3.73948275862069,5.77,44a214c22e,1,0.0,1.8900441601785043,0_1_moderate_steady
44000,113.21,0,0,2,bursty,56.605,169.815,high,2,p0_w2_high_bursty_r2,43,1790015101.847452,0,6.395441,6.098166,4.297501,113.21544654002545,6793,6793,0,0,1.058173,0.4468032414953355,0.0,0,38.125,48.00431034482759,50.125,58,60.000646622,4.5808620689655175,5.71,44a214c22e,1,0.0,1.8555853927782635,0_2_high_bursty
44000,113.21,50000,25000,1,steady,56.605,169.815,high,4,p50000_w1_high_steady_r4,44,1790015272.938415,0,7.626139,5.817075,5.009379,113.21441643202093,6793,6793,0,0,1.059038,0.48946791305026455,0.3433333333333333,412,38.90384615384615,44.814655172413794,46.5,58,60.001192552,4.826379310344827,5.77,44a214c22e,1,0.0,2.031581688387015,50000_1_high_steady
44000,66.59,0,0,2,bursty,33.295,99.885,moderate,4,p0_w2_moderate_bursty_r4,45,1790015493.9934695,0,6.537051,6.287686,5.689307,66.59812865474305,3996,3996,0,0,1.072094,0.32314434815808496,0.0,0,38.79807692307692,41.86422413793103,44.125,58,60.001685944,3.5222413793103446,6.67,44a214c22e,1,0.0,1.8774861463440784,0_2_moderate_bursty
44000,66.59,50000,25000,4,steady,33.295,99.885,moderate,1,p50000_w4_moderate_steady_r1,46,1790015665.069856,0,6.614134,6.354002,5.817617,66.59892024835574,3996,3996,0,0,1.080358,0.3282914386663361,0.0,0,38.78846153846154,41.64655172413793,43.75,58,60.000972765,3.7351724137931037,5.71,44a214c22e,1,0.0,1.889208874408799,50000_4_moderate_steady
44000,66.59,0,0,2,steady,33.295,99.885,moderate,2,p0_w2_moderate_steady_r2,47,1790015831.2240038,0,6.571134,6.34203,5.810114,66.59912719068853,3996,3996,0,0,1.086666,0.327585920066209,0.0,0,38.99038461538461,41.810344827586206,44.125,58,60.000786325,3.736034482758621,5.77,44a214c22e,1,0.0,1.882686420342106,0_2_moderate_steady
44000,113.21,100000,50000,2,bursty,56.605,169.815,high,5,p100000_w2_high_bursty_r5,48,1790015998.3550196,0,1082.653392,1046.442455,512.171021,105.43720348265956,6793,6430,0,363,1.064245,0.4237353146499638,0.6475409836065574,395,39.07692307692308,47.226694915254235,48.625,59,60.984166761,4.472372881355932,5.88,44a214c22e,1,0.053437361990284114,6.9871701514545475,100000_2_high_bursty
44000,66.59,250000,125000,2,bursty,33.295,99.885,moderate,4,p250000_w2_moderate_bursty_r4,49,1790016170.5366244,0,6.515193,6.294072,5.711092,66.59871554165275,3996,3996,0,0,1.072245,0.32368744299314234,0.0,0,39.31730769230769,42.57327586206897,45.625,58,60.001157192,3.5170689655172422,4.81,44a214c22e,1,0.0,1.8741368340827709,250000_2_moderate_bursty
44000,113.21,10000,5000,4,bursty,56.605,169.815,high,1,p10000_w4_high_bursty_r1,50,1790016343.0581048,0,1349.884964,1249.752905,658.910307,102.0613415086608,6793,6262,0,531,1.063212,0.4387003781323581,0.7348435462842242,4509,39.10576923076923,46.78125,48.375,60,61.355258587,5.088833333333333,7.69,44a214c22e,1,0.0781687030766966,7.207774655949887,10000_4_high_bursty
44000,66.59,10000,5000,1,bursty,33.295,99.885,moderate,2,p10000_w1_moderate_bursty_r2,51,1790016516.1830778,0,6.574722,6.271208,5.669028,66.59838762195642,3996,3996,0,0,1.072773,0.32263468172055315,0.05411764705882353,276,39.47115384615385,42.54956896551724,44.625,58,60.001452628,3.5067241379310343,4.81,44a214c22e,1,0.0,1.8832322958011247,10000_1_moderate_bursty
44000,66.59,0,0,2,bursty,33.295,99.885,moderate,5,p0_w2_moderate_bursty_r5,52,1790016682.261671,0,6.518068,6.292409,5.695525,66.5979979209968,3996,3996,0,0,1.069132,0.32295897750007435,0.0,0,39.42307692307692,42.560344827586206,44.875,58,60.001803729,3.5255172413793106,4.81,44a214c22e,1,0.0,1.8745780130090017,0_2_moderate_bursty
44000,66.59,10000,5000,2,bursty,33.295,99.885,moderate,2,p10000_w2_moderate_bursty_r2,53,1790016858.359009,0,40.921378,8.606389,5.709869,66.59775306284926,3996,3996,0,0,1.073803,0.3230578755598741,0.09767532721234616,500,39.28846153846154,42.54956896551724,44.875,58,60.002024336,3.5951724137931036,6.54,44a214c22e,1,0.0,3.7116526159807406,10000_2_moderate_bursty
44000,113.21,250000,125000,4,steady,56.605,169.815,high,4,p250000_w4_high_steady_r4,54,1790017029.4227076,0,5.911032,5.666966,4.987577,113.21553928896954,6793,6793,0,0,1.05715,0.48928827707164874,0.0375,9,39.57692307692308,45.52370689655172,47.375,58,60.000597468,4.845689655172413,8.65,44a214c22e,1,0.0,1.7768204354631734,250000_4_high_steady
44000,113.21,50000,25000,4,steady,56.605,169.815,high,4,p50000_w4_high_steady_r4,55,1790017200.399221,0,6.857858,5.774287,4.998049,113.21557604781411,6793,6793,0,0,1.062111,0.48750859463619317,0.2706078268109908,325,39.93269230769231,45.97198275862069,48.25,58,60.000577987,4.830517241379311,12.75,44a214c22e,1,0.0,1.9253951480812466,50000_4_high_steady
44000,113.21,100000,50000,1,bursty,56.605,169.815,high,5,p100000_w1_high_bursty_r5,56,1790017372.1876013,0,813.861372,768.392342,298.175228,111.75383013674998,6793,6793,0,0,1.05948,0.4180078847648771,0.6118421052631579,372,40.18269230769231,54.99576271186441,57.25,59,60.785388668,4.374576271186441,4.81,44a214c22e,1,0.0,6.701790046830749,100000_1_high_bursty
44000,113.21,100000,50000,2,steady,56.605,169.815,high,4,p100000_w2_high_steady_r4,57,1790017549.3132532,0,5.929761,5.666279,4.998027,113.2161160834856,6793,6793,0,0,1.058017,0.48933415767864324,0.15666666666666668,94,40.32692307692308,46.122844827586206,48.125,58,60.000291787,4.804137931034482,5.56,44a214c22e,1,0.0,1.7799839086561091,100000_2_high_steady
44000,66.59,50000,25000,4,bursty,33.295,99.885,moderate,1,p50000_w4_moderate_bursty_r1,58,1790017720.3025708,0,6.52977,6.28254,5.67645,66.59806870151634,3996,3996,0,0,1.071987,0.3232897816728939,0.010824313072439634,13,40.40384615384615,43.452586206896555,45.625,58,60.001739959,3.536206896551724,5.71,44a214c22e,1,0.0,1.8763717206159614,50000_4_moderate_bursty
44000,66.59,0,0,4,steady,33.295,99.885,moderate,5,p0_w4_moderate_steady_r5,59,1790017891.4149604,0,6.630636,6.352911,5.820909,66.59962624400751,3996,3996,0,0,1.089316,0.32777771664661765,0.0,0,40.08653846153846,43.025862068965516,45.25,58,60.000336719,3.7232758620689657,7.55,44a214c22e,1,0.0,1.8917007271988229,0_4_moderate_steady
44000,66.59,250000,125000,1,bursty,33.295,99.885,moderate,5,p250000_w1_moderate_bursty_r5,60,1790018062.5653222,0,6.557781,6.312872,5.708571,66.59809724019334,3996,3996,0,0,1.07294,0.3237211627160157,0.0,0,40.35576923076923,43.140086206896555,45.125,58,60.001714247,3.541896551724138,6.86,44a214c22e,1,0.0,1.8806522835373147,250000_1_moderate_bursty
44000,113.21,250000,125000,4,steady,56.605,169.815,high,3,p250000_w4_high_steady_r3,61,1790018228.6725326,0,5.958054,5.712127,5.001273,113.21471386946611,6793,6793,0,0,1.061142,0.4889695516359873,0.029166666666666667,7,40.11538461538461,46.150862068965516,48.25,58,60.001034917,4.815689655172413,5.61,44a214c22e,1,0.0,1.7847439176941264,250000_4_high_steady
44000,66.59,0,0,1,steady,33.295,99.885,moderate,4,p0_w1_moderate_steady_r4,62,1790018399.6961877,0,6.56202,6.335434,5.823551,66.59922213218536,3996,3996,0,0,1.082519,0.328051704735726,0.0,0,40.41346153846154,43.252155172413794,45.75,58,60.00070079,3.7081034482758626,5.83,44a214c22e,1,0.0,1.88129848238553,0_1_moderate_steady
44000,66.59,10000,5000,4,bursty,33.295,99.885,moderate,2,p10000_w4_moderate_bursty_r2,63,1790018580.8154259,0,6.474666,6.236059,5.631706,66.59761499178244,3996,3996,0,0,1.07317,0.3228185636371128,0.044357212953876346,226,40.10576923076923,43.06681034482759,45.375,58,60.002148733,3.5179310344827583,4.81,44a214c22e,1,0.0,1.8678970232435692,10000_4_moderate_bursty
44000,113.21,0,0,1,bursty,56.605,169.815,high,2,p0_w1_high_bursty_r2,64,1790018751.9038017,0,6.397895,6.109108,4.284218,113.21590590672612,6793,6793,0,0,1.058891,0.4466169410730375,0.0,0,40.125,49.980603448275865,52.0,58,60.000403173,4.574137931034482,6.6,44a214c22e,1,0.0,1.8559690300141023,0_1_high_bursty
44000,66.59,250000,125000,4,bursty,33.295,99.885,moderate,4,p250000_w4_moderate_bursty_r4,65,1790018922.9497623,0,6.574799,6.305512,5.685832,66.59807911604393,3996,3996,0,0,1.076285,0.32303188092232193,0.0,0,40.93269230769231,43.73922413793103,46.0,58,60.001730576,3.534137931034483,4.81,44a214c22e,1,0.0,1.8832440072543404,250000_4_moderate_bursty
44000,113.21,250000,125000,2,bursty,56.605,169.815,high,3,p250000_w2_high_bursty_r3,66,1790019149.7454634,0,722.013033,677.218718,250.139059,112.07860171009337,6793,6793,0,0,1.064302,0.4141281497743079,0.588477366255144,143,40.15384615384615,52.75,54.875,59,60.609250083,4.364406779661017,15.38,44a214c22e,1,0.0,6.582043189976441,250000_2_high_bursty
44000,113.21,250000,125000,4,bursty,56.605,169.815,high,2,p250000_w4_high_bursty_r2,67,1790019322.5230536,0,1614.847339,818.649447,134.04818,112.04635277907008,6793,6793,0,0,1.063358,0.4152105588416624,0.5843621399176955,142,40.73076923076923,53.09110169491525,55.375,59,60.626694502,4.364406779661017,8.65,44a214c22e,1,0.0,7.38699570425382,250000_4_high_bursty
44000,113.21,100000,50000,1,steady,56.605,169.815,high,3,p100000_w1_high_steady_r3,68,1790019494.6514626,0,6.066323,5.748265,5.012107,113.21459581509568,6793,6793,0,0,1.05875,0.4888839406501386,0.17470881863560733,105,40.84615384615385,46.859913793103445,48.875,58,60.001097483,4.823793103448276,4.85,44a214c22e,1,0.0,1.802752655458413,100000_1_high_steady
44000,66.59,50000,25000,1,bursty,33.295,99.885,moderate,1,p50000_w1_moderate_bursty_r1,69,1790019665.6442304,0,6.502541,6.247273,5.656045,66.59790426717946,3996,3996,0,0,1.071336,0.3229136861316482,0.005,6,41.05769230769231,43.875,46.25,58,60.001888107,3.506896551724138,4.9,44a214c22e,1,0.0,1.8721930235879964,50000_1_moderate_bursty
44000,66.59,250000,125000,2,bursty,33.295,99.885,moderate,3,p250000_w2_moderate_bursty_r3,70,1790019836.7576995,0,6.547746,6.295532,5.684308,66.59844692199783,3996,3996,0,0,1.075818,0.32235045405536933,0.0,0,40.83653846153846,43.80818965517241,45.875,58,60.001399202,3.5596551724137933,5.77,44a214c22e,1,0.0,1.879120868286146,250000_2_moderate_bursty
44000,66.59,10000,5000,4,steady,33.295,99.885,moderate,3,p10000_w4_moderate_steady_r3,71,1790020007.8976395,0,6.548114,6.327743,5.795698,66.59902373157102,3996,3996,0,0,1.089834,0.32701727402226083,0.04615897350441593,277,40.55769230769231,43.49353448275862,45.625,58,60.000879534,3.6984482758620687,6.93,44a214c22e,1,0.0,1.8791770692534895,10000_4_moderate_steady
